CUSTOMER_ID,x_customer_id,y_customer_id,mean_amount,std_amount,mean_nb_tx_per_day,available_terminals
0,54.88135039273247,71.51893663724195,62.262520726806166,31.131260363403083,2.1795327319875875,"[np.int64(29), np.int64(87), np.int64(144), np.int64(145), np.int64(164), np.int64(241), np.int64(270), np.int64(278), np.int64(313), np.int64(330), np.int64(361), np.int64(469), np.int64(528), np.int64(579), np.int64(583), np.int64(611), np.int64(788), np.int64(858), np.int64(920), np.int64(942), np.int64(996)]"
1,42.36547993389047,64.58941130666561,46.57078506995579,23.285392534977895,3.567092003128319,"[np.int64(0), np.int64(5), np.int64(46), np.int64(160), np.int64(190), np.int64(242), np.int64(344), np.int64(378), np.int64(431), np.int64(475), np.int64(571), np.int64(572), np.int64(654), np.int64(669), np.int64(714), np.int64(762), np.int64(876), np.int64(930), np.int64(936), np.int64(943), np.int64(958)]"
2,96.36627605010293,38.34415188257777,80.21387861785314,40.10693930892657,2.115579679011618,"[np.int64(38), np.int64(228), np.int64(235), np.int64(316), np.int64(406), np.int64(447), np.int64(449), np.int64(523), np.int64(717), np.int64(868), np.int64(968)]"
3,56.80445610939323,92.5596638292661,11.74842552879926,5.87421276439963,0.34851719880616283,"[np.int64(65), np.int64(94), np.int64(99), np.int64(113), np.int64(245), np.int64(259), np.int64(364), np.int64(401), np.int64(417), np.int64(433), np.int64(467), np.int64(485), np.int64(497), np.int64(545), np.int64(651), np.int64(672), np.int64(673), np.int64(702), np.int64(772), np.int64(845), np.int64(851), np.int64(874), np.int64(898), np.int64(925), np.int64(956), np.int64(969), np.int64(982)]"
4,2.021839744032572,83.2619845547938,78.9248913402358,39.4624456701179,3.4800485929872766,"[np.int64(213), np.int64(345), np.int64(372), np.int64(535), np.int64(614), np.int64(634), np.int64(675), np.int64(688), np.int64(694), np.int64(769), np.int64(774)]"
5,97.8618342232764,79.91585642167236,48.84053941402853,24.420269707014263,3.122116705145822,"[np.int64(20), np.int64(79), np.int64(200), np.int64(248), np.int64(266), np.int64(339), np.int64(480), np.int64(568), np.int64(682), np.int64(741), np.int64(783), np.int64(794), np.int64(887), np.int64(890), np.int64(960), np.int64(964), np.int64(991)]"
6,11.827442586893323,63.99210213275238,18.618562303859406,9.309281151929703,3.7786756681983356,"[np.int64(93), np.int64(163), np.int64(172), np.int64(205), np.int64(225), np.int64(311), np.int64(429), np.int64(468), np.int64(509), np.int64(557), np.int64(607), np.int64(750), np.int64(770), np.int64(786), np.int64(881), np.int64(973), np.int64(986)]"
7,52.184832175007166,41.46619399905236,30.132783149939563,15.066391574969781,3.0969347577368667,"[np.int64(86), np.int64(146), np.int64(162), np.int64(215), np.int64(216), np.int64(271), np.int64(352), np.int64(430), np.int64(452), np.int64(462), np.int64(496), np.int64(563), np.int64(612), np.int64(624), np.int64(650), np.int64(667), np.int64(671), np.int64(700), np.int64(705), np.int64(737), np.int64(859), np.int64(882), np.int64(906), np.int64(953), np.int64(979)]"
8,45.615033221654855,56.84339488686485,6.785031041453738,3.392515520726869,2.4705419883035082,"[np.int64(4), np.int64(8), np.int64(46), np.int64(115), np.int64(117), np.int64(160), np.int64(190), np.int64(199), np.int64(236), np.int64(242), np.int64(419), np.int64(431), np.int64(459), np.int64(492), np.int64(510), np.int64(648), np.int64(762), np.int64(891), np.int64(934), np.int64(937), np.int64(952), np.int64(958), np.int64(978)]"
9,61.20957227224214,61.69339968747569,94.6560674588893,47.32803372944465,2.7272811964139336,"[np.int64(44), np.int64(84), np.int64(103), np.int64(128), np.int64(164), np.int64(287), np.int64(314), np.int64(415), np.int64(547), np.int64(583), np.int64(590), np.int64(658), np.int64(788), np.int64(797), np.int64(809), np.int64(811), np.int64(824), np.int64(908), np.int64(913), np.int64(983)]"
